,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SBR File
0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,37.0,37.0,37.0,1.0,37.0,2.0,0.0,1.0,34.0,330.0,46.0,262.0,109.0,89.0,22.0,97.0,150.0,71.0,79.0,7.0,7.0,7.0,7.0,2.0,0.08,54.0,54.0,54.0,43.0,0
1,1.0,1.0,1.0,6.0,0.0,5.0,0.0,2.0,0.0,0.0,7.0,8.0,8.0,1.0,8.0,0.0,1.0,0.0,7.0,92.0,12.0,57.0,25.0,16.0,23.0,27.0,37.0,23.0,14.0,2.0,2.0,2.0,1.0,1.0,0.4,8.0,8.0,8.0,7.0,0
2,1.0,2.0,1.0,11.0,0.0,10.0,0.0,2.0,4.0,2.0,20.0,21.0,16.0,4.0,20.0,1.0,4.0,2.0,13.0,306.0,37.0,230.0,76.0,116.0,42.0,109.0,144.0,76.0,68.0,7.0,7.0,7.0,3.0,3.0,0.18,38.0,33.0,40.0,22.0,0
3,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,5.0,8.0,7.0,1.0,8.0,0.0,0.0,1.0,7.0,77.0,11.0,40.0,18.0,11.0,26.0,17.0,24.0,18.0,6.0,2.0,2.0,2.0,1.0,1.0,0.65,7.0,7.0,7.0,5.0,1
4,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,56.0,9.0,29.0,11.0,8.0,18.0,13.0,19.0,12.0,7.0,3.0,3.0,3.0,1.0,1.0,0.62,6.0,6.0,6.0,4.0,0
5,2.0,2.0,1.0,9.0,0.0,8.0,0.0,5.0,3.0,2.0,34.0,37.0,34.0,14.0,37.0,1.0,7.0,9.0,20.0,447.0,76.0,341.0,119.0,162.0,31.0,142.0,208.0,110.0,98.0,6.0,6.0,7.0,5.0,3.0,0.09,69.0,69.0,80.0,45.0,0
6,2.0,2.0,1.0,7.0,0.0,6.0,0.0,4.0,11.0,6.0,25.0,33.0,24.0,7.0,35.0,0.0,3.0,2.0,30.0,314.0,38.0,220.0,78.0,93.0,56.0,97.0,144.0,74.0,70.0,6.0,6.0,6.0,4.0,2.0,0.25,51.0,51.0,56.0,32.0,0
7,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,51.0,7.0,27.0,11.0,7.0,17.0,11.0,17.0,11.0,6.0,2.0,2.0,2.0,1.0,1.0,0.63,5.0,5.0,5.0,4.0,1
8,2.0,2.0,1.0,8.0,0.0,7.0,0.0,1.0,1.0,0.0,21.0,21.0,20.0,0.0,21.0,0.0,2.0,1.0,18.0,243.0,31.0,176.0,45.0,83.0,36.0,59.0,99.0,42.0,57.0,4.0,4.0,7.0,4.0,2.0,0.2,44.0,44.0,59.0,31.0,1
9,1.0,1.0,1.0,7.0,0.0,6.0,0.0,2.0,0.0,1.0,7.0,9.0,9.0,1.0,9.0,0.0,0.0,4.0,5.0,97.0,16.0,64.0,26.0,22.0,17.0,27.0,39.0,27.0,12.0,5.0,5.0,5.0,1.0,2.0,0.27,11.0,11.0,11.0,7.0,0
10,2.0,2.0,1.0,15.0,1.0,10.0,4.0,2.0,0.0,1.0,28.0,31.0,30.0,11.0,30.0,15.0,6.0,0.0,9.0,597.0,75.0,353.0,102.0,166.0,170.0,152.0,228.0,104.0,124.0,9.0,9.0,9.0,5.0,4.0,0.48,69.0,68.0,77.0,41.0,1
