AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SBP
157,2,157,1,253,0,247,160,1,1,0,8,8,7,6,8,0,1,0,7,2116,13,2001,32,1957,1344,716,737,31,706,1245,5,1245,5,3,0.67,1261,20,1262,15,0
1,1,1,1,5,0,4,1,1,0,2,4,4,4,1,4,0,0,0,4,73,9,27,14,9,37,13,19,12,7,2,2,2,1,1,1.37,5,5,5,4,0
1,1,1,1,11,0,10,0,1,1,4,10,10,6,2,7,0,5,0,2,207,25,164,69,101,22,111,124,64,60,4,4,4,1,1,0.13,15,15,15,10,1
2,2,2,1,9,0,7,1,1,1,4,31,31,30,3,31,0,0,15,16,385,40,259,95,131,90,106,171,86,85,6,6,6,6,4,0.35,62,62,62,45,0
1,1,1,1,10,1,9,0,2,0,0,4,4,4,0,4,0,0,2,2,62,7,34,15,15,21,17,24,15,9,3,3,3,1,1,0.62,6,6,6,4,0
1,1,2,1,9,0,7,1,1,1,4,9,10,9,6,10,2,1,3,4,134,15,89,33,47,30,51,69,31,38,3,3,4,1,1,0.34,17,17,20,9,0
2,2,2,1,20,0,11,9,1,0,3,6,6,6,0,6,0,0,0,6,200,16,73,27,52,113,49,62,29,33,3,3,4,3,2,1.55,12,12,13,10,0
1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,0,1,27,2,8,5,1,17,3,5,4,1,1,1,1,1,0,2.13,1,1,1,1,0
1,1,1,1,7,0,6,0,2,1,0,5,5,4,3,5,2,0,2,1,85,9,53,23,20,23,29,39,23,16,2,2,2,1,1,0.43,9,9,9,5,0
2,2,2,1,5,0,5,0,1,0,1,2,3,3,1,3,1,0,1,1,48,8,23,13,7,17,13,19,14,5,2,2,2,1,1,0.74,4,4,4,2,0
1,1,1,1,8,0,7,0,2,3,4,4,4,0,0,3,0,0,1,2,102,12,53,32,20,37,26,33,25,8,3,3,3,1,1,0.7,6,6,6,4,0
1,1,1,1,6,0,6,0,1,0,2,15,17,17,5,17,5,0,4,8,166,22,114,55,57,30,66,89,53,36,5,5,5,1,2,0.26,25,25,27,15,0
1,1,1,1,7,0,7,0,3,0,0,11,12,12,9,12,0,1,3,8,152,17,109,53,43,30,62,79,48,31,3,3,3,3,1,0.28,15,15,18,13,0
2,2,2,1,13,1,6,5,1,0,0,5,5,5,1,5,1,0,0,4,107,17,36,10,16,54,12,23,9,14,3,3,3,1,1,1.5,10,10,10,5,0
1,1,1,1,5,0,5,0,1,0,0,6,7,7,3,7,0,0,2,5,84,10,48,22,21,26,23,32,18,14,3,3,3,1,2,0.54,8,8,8,6,0
2,2,2,1,16,2,9,4,1,0,0,10,10,10,2,10,0,0,1,9,217,35,115,44,63,67,56,77,33,44,5,5,8,1,2,0.58,20,20,25,10,0
4,4,5,1,27,1,21,4,4,0,1,13,14,14,6,14,7,0,1,6,420,35,314,100,197,73,160,224,94,130,12,12,14,4,4,0.23,60,60,66,23,0
1,1,1,1,7,0,5,1,3,0,10,40,40,40,19,40,0,1,29,10,450,67,307,129,146,77,178,244,116,128,8,8,8,5,2,0.25,60,60,61,46,0
1,1,1,1,6,0,6,0,1,4,0,15,15,11,1,15,7,0,0,8,151,18,117,61,63,17,74,95,61,34,4,4,4,1,2,0.15,25,25,25,15,0
2,2,2,2,13,0,9,3,4,0,0,16,20,20,10,20,3,2,9,6,374,53,183,62,93,160,92,139,54,85,19,19,21,18,4,0.87,43,43,47,37,0
1,1,1,1,6,0,6,0,1,0,2,7,8,8,4,8,0,0,2,6,122,12,61,25,26,49,30,43,23,20,5,5,5,1,2,0.8,13,13,13,7,0
0,0,0,0,5,0,2,3,1,0,0,2,3,2,1,2,2,0,0,0,44,5,10,7,2,29,6,8,7,1,1,1,1,1,0,2.9,1,1,1,1,0
1,1,1,1,10,0,6,2,3,6,0,11,11,5,0,11,0,2,0,9,141,14,72,19,39,55,31,49,24,25,4,4,4,1,1,0.76,15,15,15,11,0
1,1,1,1,5,0,4,0,1,0,0,7,7,7,2,7,0,0,1,6,89,11,45,22,17,33,20,29,16,13,2,2,2,1,1,0.73,8,8,8,7,0
1,1,1,1,11,0,10,0,9,1,3,40,38,31,30,32,3,10,1,18,651,81,552,215,332,18,320,380,185,195,11,11,14,10,2,0.03,66,66,71,49,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,26,3,6,5,0,17,4,5,5,0,0,0,0,0,0,2.83,0,0,0,0,0
2,2,2,1,7,0,7,0,1,0,0,4,4,4,1,4,0,0,1,3,85,7,44,19,18,34,21,32,17,15,3,3,3,1,2,0.77,9,9,9,4,0
1,1,1,1,7,0,6,1,1,0,1,6,6,6,2,6,0,0,0,6,101,10,60,30,25,31,31,43,26,17,3,3,3,1,3,0.52,9,9,9,6,0
2,2,3,1,10,0,9,0,1,9,0,14,15,2,3,11,4,7,0,0,187,19,131,37,82,37,66,98,40,58,13,13,16,10,3,0.28,38,38,50,24,0
1,1,1,1,0,0,0,0,1,0,0,2,0,2,2,2,0,0,0,2,22,1,5,4,0,16,1,2,2,0,1,1,1,1,0,3.2,2,2,2,2,0
1,1,1,1,3,0,3,0,1,0,0,3,3,3,2,3,0,0,0,3,45,5,23,14,5,17,12,16,12,4,1,1,1,1,0,0.74,3,3,3,3,0
1,1,1,1,2,0,1,1,1,0,0,1,4,4,0,4,0,0,0,4,50,6,9,8,0,35,5,7,7,0,1,1,1,1,0,3.89,1,1,1,1,0
1,1,1,1,5,0,5,0,1,0,0,4,4,4,0,4,0,0,0,4,55,6,27,12,13,22,7,12,9,3,1,1,1,1,0,0.81,4,4,4,4,0
1,1,1,1,3,0,3,0,1,0,0,4,4,4,0,4,0,0,0,4,48,6,20,10,6,22,5,10,7,3,1,1,1,1,0,1.1,4,4,4,4,0
1,1,1,1,4,0,4,0,2,0,0,5,3,5,8,5,1,0,1,3,81,10,43,26,13,28,23,28,20,8,2,2,4,1,1,0.65,6,6,8,5,0
7,5,8,4,40,1,35,5,1,0,0,8,8,8,2,8,0,3,0,5,370,22,300,56,216,57,156,208,54,154,45,32,52,22,7,0.19,60,47,67,33,0
1,1,1,1,3,0,3,0,1,0,0,5,5,5,1,5,0,0,0,5,52,7,28,15,7,17,12,18,11,7,1,1,2,1,0,0.61,5,5,6,5,0
1,1,1,1,7,0,6,1,6,1,0,25,29,28,14,29,0,1,18,10,348,49,217,96,89,82,113,166,86,80,6,6,6,6,2,0.38,43,43,43,30,0
1,1,1,1,6,0,3,3,1,0,0,7,7,7,2,7,0,0,1,6,93,11,40,23,10,43,19,28,19,9,2,2,2,1,1,1.07,8,8,8,7,0
2,2,2,2,9,2,7,0,1,0,0,5,5,5,0,5,0,0,3,2,96,17,53,25,19,26,21,33,20,13,6,5,6,4,3,0.49,12,11,12,10,0
1,1,1,1,3,0,3,0,1,0,0,2,2,2,0,2,0,0,0,2,31,2,9,4,2,20,3,6,4,2,1,1,1,1,0,2.22,2,2,2,2,0
1,1,1,1,3,0,3,0,1,0,0,2,2,2,0,2,0,0,0,2,33,4,12,7,2,17,5,8,6,2,1,1,1,1,0,1.42,2,2,2,2,0
2,2,2,1,16,0,16,0,1,0,0,2,2,2,4,2,0,0,0,2,82,8,44,16,24,34,21,25,13,12,3,3,3,1,2,0.77,4,4,4,2,0
1,1,1,1,3,0,3,0,7,0,0,15,24,24,9,24,13,0,0,11,196,33,93,51,20,70,48,70,50,20,1,1,1,1,0,0.75,15,15,15,15,0
1,1,1,1,12,1,11,0,1,1,1,9,9,5,3,6,0,3,0,3,171,24,130,52,81,17,101,109,49,60,3,3,3,1,1,0.13,12,12,12,9,0
1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,0,1,26,3,6,3,1,17,2,4,3,1,1,1,1,1,0,2.83,1,1,1,1,0
2,2,2,1,14,0,12,1,2,1,0,19,19,16,3,17,2,4,0,11,367,40,284,105,172,44,148,199,95,104,9,9,9,1,3,0.15,47,47,48,19,0
2,2,2,1,15,0,12,3,2,0,0,7,7,7,10,7,0,1,1,5,188,20,110,42,57,66,50,68,29,39,7,7,7,4,3,0.6,16,16,16,10,0
1,1,1,1,10,0,9,0,3,0,0,24,24,13,15,13,5,2,0,6,321,52,251,84,165,18,163,182,80,102,2,2,3,1,1,0.07,28,28,30,24,0
2,2,2,1,19,0,14,4,1,2,1,10,10,7,3,9,0,1,0,8,214,15,140,42,90,59,59,81,40,41,5,5,5,3,2,0.42,23,23,27,12,0
0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,3,0,0,0,31,6,8,7,0,17,6,7,7,0,0,0,0,0,0,2.13,0,0,0,0,0
1,1,1,1,5,0,5,0,1,1,0,4,4,3,1,4,1,0,0,3,56,6,33,16,12,17,15,22,14,8,2,2,2,1,1,0.52,6,6,6,4,0
1,1,1,1,11,0,6,4,6,0,2,30,33,33,10,33,1,1,10,21,549,45,240,87,124,264,107,153,79,74,7,7,7,5,4,1.1,45,45,46,34,0
2,2,2,1,11,0,10,0,2,0,0,10,10,10,8,10,0,0,1,9,133,12,101,30,59,20,52,75,36,39,6,6,6,1,2,0.2,20,20,21,10,0
8,6,8,4,46,0,41,5,2,0,3,9,7,9,9,9,0,1,0,8,533,16,412,74,279,106,146,200,59,141,33,24,36,15,7,0.26,72,56,75,40,0
1,1,1,1,17,3,14,0,2,0,0,8,8,6,5,6,0,2,0,4,203,38,148,53,104,17,119,127,52,75,2,2,2,1,1,0.11,9,9,9,8,0
4,4,5,2,22,1,20,1,1,2,1,2,2,0,0,2,0,2,0,0,89,9,54,18,31,26,23,34,17,17,7,7,8,4,3,0.48,9,9,10,5,0
9,9,11,2,59,11,45,3,1,0,0,5,5,5,3,5,0,0,3,2,386,66,269,83,177,52,143,191,83,108,39,39,47,8,9,0.19,47,47,55,14,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,26,3,6,5,0,17,4,5,5,0,0,0,0,0,0,2.83,0,0,0,0,0
1,1,1,1,3,0,3,0,1,0,0,4,4,4,3,4,1,0,1,2,49,6,26,14,7,17,13,18,11,7,1,1,1,1,0,0.65,4,4,4,4,0
1,1,1,1,6,0,3,3,1,0,0,12,13,13,0,13,0,0,10,3,154,15,52,25,14,87,16,29,17,12,1,1,1,1,0,1.67,12,12,12,12,0
2,2,2,1,20,1,14,5,2,0,9,38,38,38,14,38,0,6,12,20,986,99,628,245,333,262,292,404,181,223,15,15,15,4,4,0.42,96,96,103,44,1
3,3,3,2,29,3,20,5,4,2,6,25,25,23,19,25,3,5,3,14,930,132,591,189,380,207,333,427,171,256,19,19,19,9,6,0.35,87,87,90,52,0
1,1,1,1,4,0,3,0,1,0,0,2,2,2,0,2,0,0,0,2,35,3,14,8,3,18,6,9,7,2,1,1,1,1,0,1.29,2,2,2,2,0
3,3,4,1,11,0,9,0,1,0,0,3,3,3,0,3,0,0,0,3,62,7,36,12,20,19,19,31,12,19,4,4,7,3,1,0.53,9,9,14,5,0
2,2,2,1,11,1,9,1,1,0,0,8,8,8,2,8,0,0,0,8,132,19,83,22,50,30,33,56,22,34,6,6,6,1,4,0.36,19,19,21,8,0
3,3,3,1,17,4,12,2,1,0,0,2,2,2,0,2,0,0,0,2,71,12,39,21,16,22,21,29,21,8,5,5,5,1,4,0.56,6,6,6,2,0
2,2,3,2,8,1,7,0,1,0,0,2,2,2,1,2,0,0,0,2,55,7,23,12,10,25,15,21,12,9,4,4,5,4,2,1.09,5,5,6,5,0
1,1,1,1,4,0,4,0,1,0,1,3,3,3,0,3,0,0,0,3,59,6,20,10,6,33,9,14,9,5,2,2,2,1,1,1.65,4,4,4,3,0
2,2,3,1,15,0,11,3,1,0,0,6,6,6,2,6,6,0,0,0,138,14,80,24,50,44,44,60,25,35,6,6,6,6,2,0.55,17,17,18,11,0
1,1,1,1,9,0,5,4,2,1,2,6,6,5,1,6,0,0,2,4,278,12,193,193,27,73,37,47,30,17,2,2,2,1,1,0.38,7,7,7,6,0
1,1,1,1,5,0,5,0,1,0,0,2,2,2,2,2,0,0,0,2,42,4,21,12,8,17,12,16,11,5,2,2,2,1,1,0.81,3,3,3,2,0
1,1,1,1,4,0,3,0,1,0,1,4,4,4,0,4,0,0,0,4,64,7,24,12,7,33,10,16,10,6,2,2,2,1,1,1.38,5,5,5,4,0
16,3,16,1,41,2,32,7,1,0,17,1,1,1,0,1,1,0,0,0,100,9,53,21,45,38,32,36,22,14,16,3,16,1,2,0.72,16,3,16,1,0
2,2,2,1,7,0,7,0,1,0,0,2,2,2,3,2,0,0,0,2,56,4,27,15,11,26,15,20,14,6,3,3,3,1,2,0.96,4,4,4,2,0
1,1,1,1,4,0,4,0,1,0,1,3,3,3,0,3,0,0,0,3,60,6,20,10,6,34,9,14,9,5,2,2,2,1,1,1.7,4,4,4,3,0
3,3,3,2,16,0,8,8,1,0,13,5,5,5,0,5,5,0,0,0,155,12,78,40,54,68,37,54,25,29,5,5,6,5,3,0.87,16,16,17,14,0
1,1,1,1,4,0,4,0,1,0,1,8,8,8,0,8,0,0,0,8,82,10,49,34,8,23,9,18,11,7,1,1,1,1,0,0.47,8,8,8,8,0
1,1,1,1,8,0,4,4,2,1,2,6,6,5,1,6,0,0,2,4,127,11,62,33,22,54,34,44,30,14,2,2,2,1,1,0.87,7,7,7,6,0
3,3,3,2,16,0,16,0,1,0,7,9,9,9,2,9,0,6,0,3,382,19,357,223,291,6,80,109,27,82,13,13,13,13,2,0.02,28,28,28,23,0
1,1,1,1,3,0,3,0,1,0,0,3,3,3,2,3,0,0,2,1,46,6,18,10,4,22,8,12,8,4,1,1,1,1,0,1.22,3,3,3,3,0
1,1,1,1,3,0,3,0,1,0,0,5,5,5,3,5,0,0,4,1,58,8,28,15,7,22,12,18,11,7,1,1,1,1,0,0.79,5,5,5,5,0
1,1,1,1,4,0,4,0,1,0,0,7,7,7,3,7,0,0,6,1,75,10,43,21,14,22,17,26,14,12,2,2,2,1,1,0.51,8,8,8,7,0
1,1,1,1,11,0,6,4,3,53,1,58,59,5,1,58,1,2,3,52,751,79,369,103,221,304,168,263,99,164,15,9,16,10,2,0.82,102,96,106,69,0
1,1,1,1,24,3,18,2,1,0,0,3,3,2,5,2,0,0,0,2,79,11,47,25,26,21,32,38,24,14,3,3,3,1,1,0.45,5,5,5,3,0
2,2,2,1,9,0,9,0,1,1,0,7,7,6,5,7,0,1,0,6,116,11,88,32,45,17,46,60,27,33,6,6,7,1,3,0.19,15,15,17,7,0
1,1,1,1,4,0,3,0,4,1,0,17,17,16,11,17,1,0,0,16,158,20,105,52,42,33,42,61,43,18,2,2,2,1,1,0.31,18,18,18,17,1
1,1,1,1,11,0,9,1,2,1,0,4,4,3,2,4,0,1,0,3,68,8,40,16,22,20,20,26,16,10,2,2,2,1,1,0.5,5,5,5,4,0
1,1,1,1,3,0,3,0,2,0,0,4,4,4,0,4,0,0,1,3,47,6,24,14,4,17,9,15,11,4,1,1,1,1,0,0.71,4,4,4,4,0
1,1,2,1,10,0,10,0,3,0,0,20,20,20,7,20,2,0,0,18,307,38,251,108,135,20,150,192,89,103,7,7,8,5,3,0.08,39,39,44,26,0
1,1,1,1,4,0,4,0,1,0,0,8,8,8,1,8,0,0,1,7,85,10,53,29,16,22,30,39,24,15,1,1,1,1,0,0.42,8,8,8,8,0
1,1,1,1,4,0,4,0,3,0,0,14,14,14,4,14,2,0,0,12,138,20,99,52,35,19,51,68,39,29,1,1,2,1,0,0.19,14,14,16,14,1
1,1,1,1,5,0,5,0,1,0,0,4,4,4,4,4,1,0,0,3,60,8,35,18,13,17,22,27,15,12,1,1,1,1,0,0.49,4,4,4,4,0
1,1,1,1,7,0,6,0,18,3,2,149,145,144,66,147,6,4,0,137,1498,175,1272,461,716,53,680,869,331,538,6,6,7,1,2,0.04,182,182,216,149,0
1,1,1,1,5,0,5,0,2,0,0,9,9,9,2,9,1,1,0,7,96,12,67,34,23,17,32,45,25,20,3,3,3,1,2,0.25,11,11,11,9,0
1,1,1,1,4,0,4,0,1,1,0,5,5,4,1,5,0,0,0,5,59,9,33,18,9,17,16,24,15,9,2,2,2,1,1,0.52,7,7,7,5,0
1,1,1,1,3,0,3,0,2,0,0,10,8,10,5,10,1,0,0,9,86,13,57,27,21,16,24,35,17,18,2,2,2,1,1,0.28,11,11,11,10,0
1,1,1,1,5,0,5,0,3,0,0,11,11,11,7,11,2,0,0,9,130,18,94,48,36,20,53,69,39,30,2,2,3,1,1,0.21,13,13,14,11,0
1,1,1,1,4,0,4,0,3,0,0,15,15,15,7,15,2,0,0,13,147,19,103,51,33,27,48,69,40,29,3,3,4,1,1,0.26,18,18,19,15,0
2,2,2,1,11,1,9,0,3,0,0,14,14,14,4,14,2,0,0,12,233,33,178,76,93,24,96,129,65,64,16,16,18,7,7,0.13,30,30,32,20,0
1,1,1,1,4,0,3,0,1,1,0,10,10,9,2,10,0,0,0,10,90,13,58,30,17,19,25,37,23,14,2,2,2,1,1,0.33,12,12,13,10,0
