,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SBP
0,2.0,2.0,2.0,2.0,11.0,0.0,8.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,109.0,11.0,41.0,19.0,18.0,57.0,25.0,31.0,16.0,15.0,4.0,4.0,6.0,4.0,1.0,1.39,6.0,6.0,8.0,6.0,0
1,1.0,1.0,2.0,1.0,9.0,0.0,7.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,86.0,9.0,46.0,20.0,21.0,31.0,28.0,35.0,17.0,18.0,4.0,4.0,6.0,4.0,1.0,0.67,7.0,7.0,9.0,7.0,0
2,1.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,4.0,6.0,3.0,1.0,24.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,0
3,1.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,62.0,6.0,7.0,4.0,1.0,49.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0
4,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,57.0,6.0,29.0,17.0,9.0,22.0,15.0,21.0,14.0,7.0,3.0,3.0,3.0,3.0,2.0,0.76,5.0,5.0,5.0,5.0,1
5,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,4.0,7.0,4.0,1.0,49.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0
6,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,32.0,2.0,6.0,3.0,1.0,24.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,0
7,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,32.0,2.0,6.0,3.0,1.0,24.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1
8,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,4.0,7.0,4.0,1.0,49.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0
9,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,54.0,2.0,6.0,3.0,1.0,46.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,7.67,1.0,1.0,1.0,1.0,0
